text,customer_name,source,created_at,metadata
Want scheduled email reports - BigCo Enterprises,BigCo Enterprises,demo,2025-11-03T15:09:50.404341,"{""category"": ""Reporting"", ""priority"": ""medium""}"
Push notifications not working - Acme Corp,Acme Corp,demo,2025-08-27T15:09:50.404384,"{""category"": ""Mobile App"", ""priority"": ""low""}"
Need offline mode for mobile - BigCo Enterprises,BigCo Enterprises,demo,2025-10-22T15:09:50.404395,"{""category"": ""Mobile App"", ""priority"": ""medium""}"
SSO integration not working with Okta - EduPlatform,EduPlatform,demo,2025-09-24T15:09:50.404427,"{""category"": ""User Management"", ""priority"": ""medium""}"
Can't export data to Excel - FinanceHub,FinanceHub,demo,2025-11-10T15:09:50.404473,"{""category"": ""Reporting"", ""priority"": ""low""}"
Mobile app crashes on iOS 17 - FinanceHub,FinanceHub,demo,2025-08-28T15:09:50.404559,"{""category"": ""Mobile App"", ""priority"": ""high""}"
Mobile UI is not responsive - TechStart Inc,TechStart Inc,demo,2025-08-31T15:09:50.404602,"{""category"": ""Mobile App"", ""priority"": ""low""}"
Mobile app crashes on iOS 17 - MegaRetail,MegaRetail,demo,2025-08-28T15:09:50.404640,"{""category"": ""Mobile App"", ""priority"": ""high""}"
Want scheduled email reports - HealthTech Solutions,HealthTech Solutions,demo,2025-08-31T15:09:50.404646,"{""category"": ""Reporting"", ""priority"": ""high""}"
Need role-based access control - MegaRetail,MegaRetail,demo,2025-10-02T15:09:50.404651,"{""category"": ""User Management"", ""priority"": ""medium""}"
Need higher rate limits for enterprise plan - TechStart Inc,TechStart Inc,demo,2025-11-14T15:09:50.404656,"{""category"": ""API Performance"", ""priority"": ""low""}"
Charts are not interactive - EduPlatform,EduPlatform,demo,2025-09-17T15:09:50.404661,"{""category"": ""Reporting"", ""priority"": ""low""}"
API timeout errors during batch operations - StartupXYZ,StartupXYZ,demo,2025-08-28T15:09:50.404666,"{""category"": ""API Performance"", ""priority"": ""low""}"
Charts are not interactive - StartupXYZ,StartupXYZ,demo,2025-11-06T15:09:50.404670,"{""category"": ""Reporting"", ""priority"": ""high""}"
User permissions are confusing - HealthTech Solutions,HealthTech Solutions,demo,2025-09-03T15:09:50.404675,"{""category"": ""User Management"", ""priority"": ""high""}"
Need offline mode for mobile - FinanceHub,FinanceHub,demo,2025-11-25T15:09:50.404680,"{""category"": ""Mobile App"", ""priority"": ""high""}"
Can't export data to Excel - MegaRetail,MegaRetail,demo,2025-09-28T15:09:50.404684,"{""category"": ""Reporting"", ""priority"": ""medium""}"
API timeout errors during batch operations - Acme Corp,Acme Corp,demo,2025-09-21T15:09:50.404689,"{""category"": ""API Performance"", ""priority"": ""low""}"
Need role-based access control - TechStart Inc,TechStart Inc,demo,2025-09-09T15:09:50.404693,"{""category"": ""User Management"", ""priority"": ""low""}"
API timeout errors during batch operations - FinanceHub,FinanceHub,demo,2025-10-29T15:09:50.404698,"{""category"": ""API Performance"", ""priority"": ""low""}"
User permissions are confusing - HealthTech Solutions,HealthTech Solutions,demo,2025-11-07T15:09:50.404702,"{""category"": ""User Management"", ""priority"": ""high""}"
API timeout errors during batch operations - HealthTech Solutions,HealthTech Solutions,demo,2025-11-01T15:09:50.404707,"{""category"": ""API Performance"", ""priority"": ""high""}"
Need offline mode for mobile - StartupXYZ,StartupXYZ,demo,2025-09-08T15:09:50.404711,"{""category"": ""Mobile App"", ""priority"": ""high""}"
API timeout errors during batch operations - Acme Corp,Acme Corp,demo,2025-09-01T15:09:50.404715,"{""category"": ""API Performance"", ""priority"": ""high""}"
Need dashboard for executive metrics - FinanceHub,FinanceHub,demo,2025-11-01T15:09:50.404720,"{""category"": ""Reporting"", ""priority"": ""low""}"
SSO integration not working with Okta - EduPlatform,EduPlatform,demo,2025-09-13T15:09:50.404724,"{""category"": ""User Management"", ""priority"": ""medium""}"
SSO integration not working with Okta - BigCo Enterprises,BigCo Enterprises,demo,2025-09-19T15:09:50.404728,"{""category"": ""User Management"", ""priority"": ""medium""}"
Mobile app crashes on iOS 17 - MegaRetail,MegaRetail,demo,2025-09-17T15:09:50.404733,"{""category"": ""Mobile App"", ""priority"": ""high""}"
User permissions are confusing - MegaRetail,MegaRetail,demo,2025-10-14T15:09:50.404737,"{""category"": ""User Management"", ""priority"": ""low""}"
API response time is too slow (>2 seconds) - MegaRetail,MegaRetail,demo,2025-10-28T15:09:50.404742,"{""category"": ""API Performance"", ""priority"": ""low""}"
Need role-based access control - BigCo Enterprises,BigCo Enterprises,demo,2025-10-18T15:09:50.404746,"{""category"": ""User Management"", ""priority"": ""medium""}"
Need higher rate limits for enterprise plan - Acme Corp,Acme Corp,demo,2025-09-24T15:09:50.404750,"{""category"": ""API Performance"", ""priority"": ""high""}"
Need higher rate limits for enterprise plan - BigCo Enterprises,BigCo Enterprises,demo,2025-10-30T15:09:50.404754,"{""category"": ""API Performance"", ""priority"": ""low""}"
Need offline mode for mobile - EduPlatform,EduPlatform,demo,2025-09-29T15:09:50.404759,"{""category"": ""Mobile App"", ""priority"": ""medium""}"
Need offline mode for mobile - FinanceHub,FinanceHub,demo,2025-10-25T15:09:50.404763,"{""category"": ""Mobile App"", ""priority"": ""high""}"
Charts are not interactive - Acme Corp,Acme Corp,demo,2025-09-06T15:09:50.404767,"{""category"": ""Reporting"", ""priority"": ""medium""}"
Need offline mode for mobile - BigCo Enterprises,BigCo Enterprises,demo,2025-09-26T15:09:50.404772,"{""category"": ""Mobile App"", ""priority"": ""low""}"
